QuestID,English,Chinese
32132,32132,
32134,32134,
32137,32137,
117344,117344,
132173,132173,
153803,153803,
177249,177249,
406367,406367,
431113,431113,
200000,A Lingering Regret,哀歌
200001,Save the Crustaceans,蟹与少年与宝物
200002,Miracle Mushrooms,神奇的蘑菇
200003,Annoying Neighbors,烦人的邻居
200100,Results Guaranteed,药效不错
200101,Pebbles of Perfection,可爱的圆石
200102,Infested Skyways,天上的讨厌鬼
200103,Soaring Dream,骑空艇博物馆之梦
200104,Long Time No Fix,时隔已久的委托
200200,Memories on Ice,永远铭记
200201,Vulnerable Nights,失眠之夜
210220,The Forbidden Spirit,禁忌美酒
210221,Icey Interior,剔透之柱
210223,To Whirl Again,不转的旋翼
210225,Trowel and Error,凡事都要尝试
210227,Family Reporting,战力分析
210228,Wolves at the Door,狼群的目光
210229,Aid from Afar,来自远方的支援
200400,The Gourmet Way,美食之道
200401,Fresh Material,好奇心旺盛的年纪
210420,Bug Hunt,寻求珍奇昆虫
210421,A Barrold of My Own,假人伙伴
210423,Red-Hot Seller,新菜品
210425,Out of Serpentine Spite,怨曲
210427,Violent Requiem,暴力镇魂曲
210428,Wrath of the Sword Veil,魔剑之怒
201002,A Curious Charm,可疑的咒术
201005,Propeller Problems,损伤严重
201006,Support Our Troops,勇士的记忆
201007,On the Tip of My Chip,渴望却想不起名字的东西
211021,"Eye for an Eye, Quake for a Dile",有仇必报
211023,Loathsome Wings,可恨的双翼
211025,Smith Smarter,火之种的妙用
211027,Cooling Bones,有“骨气”的制冷剂
211030,Magimorphosis,转化魔法
201102,En-Raptored,鹰死鸟自在
211121,Sensitive Technology,偷偷接触前沿
211123,Soul in the Machine,拥有心的机械娃娃
211125,Goopy Research,黏糊糊的研究
211130,Hidden Lesson,太不可思议了
211230,Into the Unknown,未解之谜
211330,Classroom Science,无聊的把戏
211430,Expecting the Expected,窥探深渊
211530,Windy Memories,记忆的刻印
202002,Hands-On Research,做学问要从基本的调查开始
202005,Forget Me Not,难忘的花
202006,Everything in Moderation,凡事都要适度
202007,Collecting Godstones,神力之石
202010,Cleansing the Dead,愿逝者安宁
212021,First Step is the Hardest,我需要勇气
212024,"Wreck, Reduce, Recycle",废物回收
212026,Iced Water Supplies,有雪却缺水
212030,Fiery Commerce,星火可燎原
212031,Nightmare of a Shadow,噩梦之影
212130,Light and Shadow,光与暗
212230,Study with Care,切勿踏入深渊
212330,Mother Water,水是生命之源
212430,From the Soil,土中皆有灵
212530,As the Wind Blows,一切随风
203006,Securing the Homestead,强化家具什物！
203007,Stuffed Stocks,预判失误
203011,Sculpting Fire,怒视八方的火龙像
213021,"Try, Try Again",失败乃成功之母
213022,Strong as Hell,强得离谱的家伙
213024,A Vision of Gates,＜门＞的记忆
213026,A Vision of Vitality,<生机>的记忆
213032,A Vision of Sequestration,<隔绝>的记忆
213033,A Vision of Fortification,<镇守>的记忆
213034,A Vision of Dread,<畏惧>的记忆
203111,Sculpting Ice,冰龙飞天像
203211,Sculpting Earth,地龙斗虎像
203311,Sculpting Wind,风龙潜云像
204005,An Eyeful,目光对视
204006,Glory Days,青春岁月
204007,Help Your Fellow Farer,互助精神
204011,Dubious Literature,可疑的文献
204012,Oddly Specific Request,给一流强者的委托
204013,Avenge the Dead,超度亡魂
214024,Degoop the Farm,牧场捣蛋鬼
214026,An Eye for Business,抓住眼球怪
214027,Dynamic Design,追求跃动感
214030,Within the Flickering Flame,摇曳的火焰中
214033,Symbol of the Hordes,统率兽人的象征
214034,Regret and Repentance,后悔与忏悔
214035,In Defense of the City,防卫的关键
204106,Futureproof Trading,期货交易
204107,Presentproof Investing,跟进投资
204113,Frozen Menace,极寒白骨
214130,To Illuminate All Creation,照亮万物的光
214135,Arts Long Lost,失传的技术
214230,Voids Beyond,先有暗还是先有无？
214330,"Absolute, Absolute Zero",绝对零度
214430,Earth's Bounty,大地的馈赠
214530,Shifting Winds,风的颂歌
290002,Save the Crustaceans Part Deux,蟹与少年与宝物·Again
290003,Save the Crustaceans the Third,蟹与少年与宝物·Trilogy
290004,Save the Crustaceans Reloaded,蟹与少年与宝物·Next
290005,Save the Crustaceans Beyond,蟹与少年与宝物·Refrain
290006,Save the Crustaceans Neo,蟹与少年与宝物·Neo
290007,Save the Crustaceans Returns,蟹与少年与宝物·Returns
290008,Save the Crustaceans Prime,蟹与少年与宝物·Refill
290009,Save the Crustaceans New Dawn,蟹与少年与宝物·More
290010,Save the Crustaceans Chronicles,蟹与少年与宝物·Chronicle
290011,Save the Crustaceans Origins,蟹与少年与宝物·Origin
290012,Save the Crustaceans Supremacy,蟹与少年与宝物·Et cetera
290013,Save the Crustaceans Infinity,蟹与少年与宝物·Encore
290014,Save the Crustaceans Rises,蟹与少年与宝物·Rising
290015,Save the Crustaceans Finale,蟹与少年与宝物·Final
212630,Squishy Lies the Crown,黏糊糊糊的探究
214630,Slime After Slime,黏糊糊糊糊的追求
300000,I've Got Your Back,并肩前行
300002,Family Is Everything,为了守护
300003,"Down, but Not Out",折翼的鹦鹉螺号
300004,It's Just a Phase,常有之事
300005,Words Left Unspoken,没能说出的情感
300006,Uninvited Guests,不速之客
300007,Warm Threads,暖线
300008,Ludwin and Hans,路德文与汉斯
300009,Vane the Squire,见习骑士巴恩
300010,Spark of Change,成为契机的争论
300011,Seedhollow's Armed Forces,希德霍姆的军队
300012,The Deceitful Nobleman,情报商与贵族
300013,The Hottest Fishing Spot,出人意料的地方
300014,Narmaya's Chosen Path,我该做的事
300015,One-Man Army,一拳当千
300016,A Modest Gift,小小的礼物
300017,The Woman Who Pines for Death,寻死的女孩
300018,An Artist's Pain,卧病在床的少女
300019,Confronted by the Past,与那一天的再会
301000,Pushing Forward,向前一步
301002,Wraithwing Eggs,幻鸟蛋
301003,Straighten Up and Fly Right,仰望子午线
301004,Change of Heart,契机
301005,So Long as We Draw Breath,活着就有希望
301006,Crystal of Fortification,守护水晶
301007,Searching for Happiness,一定要露出幸福的笑容
